speech	line_num	text
1991_goh_chok_tong	109	The moral of the story is -always havehonest men with high principles and sound judgement in charge of yourlives.
1991_goh_chok_tong	110	Stick to those principles and we will be safe.16.
1991_goh_chok_tong	111	We've made great strides over the last 26 years for many reasons.
1991_goh_chok_tong	112	But one major reason for our success is the system which we nm --meritocracy.
1991_goh_chok_tong	113	The system allows individuals to pursue their interests, toacquire skrns, to maximise their potential, to go as high up as they can go.
1991_goh_chok_tong	114	There is incentive for them to acquire knowledge, skills because when youapply those knowledge and ski11s to good use, you are rewardedaccordingly.
1991_goh_chok_tong	115	You get paid wages, bonuses related to productivity.
1991_goh_chok_tong	116	Now,this system makes us competitive and productive, both as individuals andas a nation.
1991_goh_chok_tong	117	It is necessary therefore, for us to preserve this system, to keepit going, to enhance it because without this drive towards competitiveness,we would not be running the world's busiest port in terms of shippingtonnages and in terms of container traffic.
1991_goh_chok_tong	118	Changi Airport would not havebeen voted world's number one for three years in succession by a Britishtravel magazine.17.
1991_goh_chok_tong	119	The World Economic Forum, which is a Swiss organisationtracking the competitiveness of nations, has published this year's annualreport.
1991_goh_chok_tong	120	So, I asked for a copy of the report just to look at the factors whichthey regard as important for a nation to compete in the world.
1991_goh_chok_tong	121	I would liketo quote an extract from the report, to give you an idea of the fundamentalswhich they look out for, because if you understand what this WorldEconomic Forum was looking out for, you will be better able to understandthe factors which are necessary for Singapore's success:"The fimdamentals which in the past have ensured the continuoussuccess of cmmtr;es such as .Japan, Germany, ,\'witzerland andSingapore are now well-known.
1991_goh_chok_tong	122	There is a strong emphasis on goodinfi·astructure, a continuous technological flow, a dynamicinternational orientation, a conservative monetary and budgetarypohcy, and stahle socio-polihcal environment.
1991_goh_chok_tong	123	A sign?ficant fc1ctoris
1991_goh_chok_tong	124	the decisive impact of education and values on competitiveness.
1991_goh_chok_tong	125	"18.
1991_goh_chok_tong	126	Note education and values on competitiveness.
1991_goh_chok_tong	127	"The four nations mentioned above share an excellent educationalsystem wh;ch seems to place less emphasis on creating geniusesthan on upgrading the average competence level of the population.
1991_goh_chok_tong	128	They also have in common a system of values based on hard ·work,loyalty and team spirit. ··19.
1991_goh_chok_tong	129	Team spirit, I want to emphasise this because that is my theme fortonight.
1991_goh_chok_tong	130	The combination of excellence in education and tenacity in valuesseems to be an unbeatable ticket for world competitiveness.
1991_goh_chok_tong	131	Now, we arecompetitive.
1991_goh_chok_tong	132	My worry is whether we're able to maintain the cooperationand cohesion in our society in order that we can remain competitive.
1991_goh_chok_tong	133	Inorder that we can make progress.20.
1991_goh_chok_tong	134	In the past, everyone believed that with effort and hard work, youcould make it to the top.
1991_goh_chok_tong	135	Indeed, many sons and daughters ofwasherwomen, taxi-drivers, and labourers have made it to the top.
1991_goh_chok_tong	136	So,they supported the able and the bright.
1991_goh_chok_tong	137	They encouraged the able and thebright to do better, because they were hoping their children too can dobetter.
1991_goh_chok_tong	138	And when the able became successful, they graduated, they becameprofessionals.
1991_goh_chok_tong	139	They, in tum, came back to help the less successful.
1991_goh_chok_tong	140	Therewas that sense of obligation to society.
1991_goh_chok_tong	141	They have made it through thesystem, and they felt that they should come back and serve.
1991_goh_chok_tong	142	Many of ourmembers of Parliament and ministers belong to that category.
1991_goh_chok_tong	143	They havesucceeded.
1991_goh_chok_tong	144	They are successful.
1991_goh_chok_tong	145	They feel that it is their duty to serve thecountry, to serve the community organisations.
1991_goh_chok_tong	146	I suspect that there is aloosening of this bond.
1991_goh_chok_tong	147	I can see emerging signs.21.
1991_goh_chok_tong	148	The less able, I can sense, are beginning to envy the success of themore able.
1991_goh_chok_tong	149	And amongst the more able, there is a certain self-centredness.
1991_goh_chok_tong	150	This sense of obligation is not as strong as those in their 30s and 40s, oreven early 50s.
1991_goh_chok_tong	151	The less successful resent our emphasis on independentschools, programme for the gifted children -our encouragement forgraduates to marry graduates.
1991_goh_chok_tong	152	They see this as our helping the able whoalready are talented.
1991_goh_chok_tong	153	They do not see the need for government to spendmore funds, more efforts to help those who are already doing well inschool.
1991_goh_chok_tong	154	It is not that they object to the concept of independent schools.
1991_goh_chok_tong	155	Itis that their children cannot make it to independent schools.
1991_goh_chok_tong	156	If we spendmore funds on upgrading the quality of independent schools, set up moreindependent schools, they fear that the gap in performance between thosein independent schools and those in government schools will widen.
1991_goh_chok_tong	157	So,they brand the independent schools as ""ehtlst".22.
1991_goh_chok_tong	158	In my recent walkabout, one member of the pubhc came to me andasked me, why do we have gifted programmes for the talented?
1991_goh_chok_tong	159	Hesuggested to me that we should in fact scrap the entire programme.
1991_goh_chok_tong	160	I askedhim why.
1991_goh_chok_tong	161	The reason was what I told you just now.
1991_goh_chok_tong	162	The children arealready gifted, why spend more on them to make them even better, to makethem perform even better than others who cannot make it to theprogramme.
1991_goh_chok_tong	163	So, his suggestion is not to find ways to help those who arenot doing so well, but for us to scrap the gifted programme for the betterendowed children.
1991_goh_chok_tong	164	To me, this is a suggestion that we should level down.
1991_goh_chok_tong	165	Now, jf the man were alone in this suggestion, then I would not worry.
1991_goh_chok_tong	166	But I have been around in several walkabouts, meeting people, I can feelthat quite a few Singaporeans share the sentiment, that since we cannotmake it to independent schools, we cannot make it to the giftedprogramme, let's not have them, let's level down.
1991_goh_chok_tong	167	This is a very dangerousdesire.
1991_goh_chok_tong	168	It represents the kind of egalitarian thinking that got communistcountries into trouble.
1991_goh_chok_tong	169	You know, the communist countries --SovietUnion, Yugoslavia, Romania, China --they are all in a mess.
1991_goh_chok_tong	170	It is becauseof this levelling down in the societies.23.
1991_goh_chok_tong	171	I first went to a communist country in 1971 to Beijing.
1991_goh_chok_tong	172	I went thereas part of NOL's delegation to try and charter ships to them.
1991_goh_chok_tong	173	Took us along time to arrive in Beijing in those days.
1991_goh_chok_tong	174	You have to first go to HongKong to apply the China Travel Service for your pass, stay overnight inHong
1991_goh_chok_tong	175	Kong, then go by train to Canton, stay overnight, and then fly toBeijing.
1991_goh_chok_tong	176	When we arrived in Beijing, it was after 7pm.
1991_goh_chok_tong	177	We were hungry,we were famished because they did not serve you on the plane fromCanton to Beijing.
1991_goh_chok_tong	178	But their best hotel, which was Beijing Hotel, refusedto serve us any dinner.
1991_goh_chok_tong	179	Dinner time was from 5 to 7, if you don't make it you don't have food.
1991_goh_chok_tong	180	Well, that 1s the system which they run m acommunist country.24.
1991_goh_chok_tong	181	I also took the trouble to visit the communes.
1991_goh_chok_tong	182	When I went to acommune, I saw hundreds of workers out in the field, flags fluttering away,bright colours, blue, red, ye11ow, the communist flag, then loudspeakerblaring revolutionary music, workers carrying their tools, working in avery sma11 area.
1991_goh_chok_tong	183	Then my mind flashed back to the year which I spent inWilliam's College, when I visited a farm in Iowa.
1991_goh_chok_tong	184	There, one man, onefanner with one tractor looked after acres of land.
1991_goh_chok_tong	185	So, the lesson wasbrought home to me vividly.
1991_goh_chok_tong	186	You level down, everyone is paid equalwage, you need hundreds of workers to man one sma11 plot of land.
1991_goh_chok_tong	187	In theStates where they are paid by incentives, one man, one tractor, big farmland.
1991_goh_chok_tong	188	So, I understood the meaning of low productivity for the communistcountry.25.
1991_goh_chok_tong	189	When I first went to China, the waiters and waitresses weregrumpy, they didn't serve us well.
1991_goh_chok_tong	190	I have been back to China several timessince.
1991_goh_chok_tong	191	This time, the waiters and waitresses smile.
1991_goh_chok_tong	192	They serve you, theyhave name-tags with English names so that you can remember them
1991_goh_chok_tong	193	betterwhen they give you good service.
1991_goh_chok_tong	194	Well, China has changed.
1991_goh_chok_tong	195	It has learntthat you need to reform the system to reward people accordingly.
1991_goh_chok_tong	196	So thereis hope for China.26.
1991_goh_chok_tong	197	But I do not think there is any hope for the Soviet Union, not for along, long time any\\ay.
1991_goh_chok_tong	198	I visited Moscow in 1990 just before I took over,a few months before I took over.
1991_goh_chok_tong	199	First time, I was advised to bring myown toilet paper.
1991_goh_chok_tong	200	So, I asked the person that advised me, why should Ibring my own toilet paper?
1991_goh_chok_tong	201	The answer was the toilet paper in the SovietUnion is non-absorbent.
1991_goh_chok_tong	202	And true enough, at the guest-house, the toiletpaper was non-absorbent but the writing paper is absorbent.
1991_goh_chok_tong	203	I took thetrouble to go to a supermarket and I got the shock of my life.
1991_goh_chok_tong	204	The shelveswere empty, long queue of people just trying to buy a few pieces of meat,few eggs and so on.
1991_goh_chok_tong	205	Then, I understood why.27.
1991_goh_chok_tong	206	When Premier Rizkov came to Singapore, he asked to v1s1t asupermarket in Singapore.
1991_goh_chok_tong	207	Yeo Ning Hong who accompanied him told methat Premier Rizkov took an orange, took an apple, fondled it lovingly,wondering how Singaporeans could afford such beautiful apples andoranges.
1991_goh_chok_tong	208	So, having been to Moscow, I understood why.
1991_goh_chok_tong	209	The lesson for usis that if you level down a society, you want everybody to be equal, youare not sharing prosperity.
1991_goh_chok_tong	210	You are sharing poverty.
1991_goh_chok_tong	211	It is this sullen egalitarian streak in the Russians which prevent them from changing thesystem.28.
1991_goh_chok_tong	212	Hedrick Smith, in his book ""The New Russians" wrote about theRussians.
1991_goh_chok_tong	213	He had several stories.
1991_goh_chok_tong	214	I will just tell you two of them.
1991_goh_chok_tong	215	One isthat the Russian peasant cannot stand someone better off than him.
1991_goh_chok_tong	216	If hesees someone with a car, he will think dark thoughts: This so and so withhis car, I would like to kill him for living better than I do.
1991_goh_chok_tong	217	That is the wayhe thinks.
1991_goh_chok_tong	218	There was this lucky peasant who was given a wish by God.
1991_goh_chok_tong	219	God said to him, I will give you a wish.
1991_goh_chok_tong	220	You can have anything you want,a car, a house, millions of roubles, anything you want.
1991_goh_chok_tong	221	So, of course thepeasant was very happy.
1991_goh_chok_tong	222	He began to fantasise what wishes he could have.
1991_goh_chok_tong	223	The wealth that he could have from God.
1991_goh_chok_tong	224	And God says, remember,whatever I give you, I would double it for your neighbour.
1991_goh_chok_tong	225	So, thisRussian peasant, his face dropped, he agonised over it because he couldnot bear the fact that his neighbour would be twice as rich as he is.
1991_goh_chok_tong	226	Then,after a while, he told God, I will tell you what my wish is.
1991_goh_chok_tong	227	Take out one ofmy eyes so that my neighbour would lose both his eyes.29.
1991_goh_chok_tong	228	This envy of someone better off, this impulse of not letting anyoneget ahead, if it occurs in a society, I think that would be the end ofSingaporeans.
1991_goh_chok_tong	229	We cannot afford to pull your neighbour's shirt in order toprevent him from going faster.
1991_goh_chok_tong	230	This is why Gorbachev finds it so difficultto introduce his reforms that would reward good work.
1991_goh_chok_tong	231	In April 1990, hedeclared, '"If we do not break out of this foolish system of wage levelling,we would ruin everything that is alive in our people, we shall suffocate.''So, Gorbachev understands that they got to remove this wage levellingsystem in the Soviet Union.30.
1991_goh_chok_tong	232	The way for us to make progress is to level up by maximising thepotential of everyone.
1991_goh_chok_tong	233	We have to maximise the potential of the able, thetalented.
1991_goh_chok_tong	234	But not just the able and talented, we should maximise thepotential of everyone.
1991_goh_chok_tong	235	Of course, if we spot a bright kid, our job is to makesure that that bright kid can go as far as he can.
1991_goh_chok_tong	236	Because you need all thebright kids that we can get hold of to tum them into professionals, intomanagers, into doctors and so on, so that they can manage the country.
1991_goh_chok_tong	237	Now, there is a Chinese proverb (in Mandarin).
1991_goh_chok_tong	238	Easier to raise an armythan find a general.
1991_goh_chok_tong	239	So, that is our philosophy when we say we try andmaximise the potential of everyone, if we try and push the able to the limit.31.
1991_goh_chok_tong	240	The SAF has some 300,000 soldiers.
1991_goh_chok_tong	241	You know how manygenerals we have?
1991_goh_chok_tong	242	So easy to raise 300,000 soldiers
1991_goh_chok_tong	243	but we have only 14generals and that includes Lee Hsien Loong and George Yeo who are non-active generals.
1991_goh_chok_tong	244	So, my philosophy is a simple one.
1991_goh_chok_tong	245	If we can find an ableperson, we will allow that able person to rise as far as he can go.
1991_goh_chok_tong	246	If you donot have such an able person, you \\'ill not be able to have your bigorganisations built up.
1991_goh_chok_tong	247	Take the case of SIA.
1991_goh_chok_tong	248	Joe Pillay and his team builtup SIA.
1991_goh_chok_tong	249	One man who did not know anything about airline was put incharge because he was an able man.
1991_goh_chok_tong	250	He built up SIA, which is today'smost profitable airline in the world.
1991_goh_chok_tong	251	SIA employs some 13,000 people andcontributes five per cent to our GDP.
1991_goh_chok_tong	252	That is a very big contribution fromone single company.32.
1991_goh_chok_tong	253	I mentioned Mr Pillay because he is partly responsible for mybeing here todav.
1991_goh_chok_tong	254	I worked for him when I first started work in theEconomic Planning Unit.
1991_goh_chok_tong	255	He was the Deputy Secretary in charge.
1991_goh_chok_tong	256	He sentme to Williams College.
1991_goh_chok_tong	257	I did not apply for it.
1991_goh_chok_tong	258	He got the fonn.
1991_goh_chok_tong	259	He askedme to apply for it.
1991_goh_chok_tong	260	Then I went to William's College.
1991_goh_chok_tong	261	Before I left for theuniversity, he invited me to his house for dinner.
1991_goh_chok_tong	262	So, he cared for a staffwho worked for him whom he thought can be groomed to do bigger things.33.
1991_goh_chok_tong	263	When I came back from Williams College, Prime Minister Lee waslooking for a Principal Private Secretary.
1991_goh_chok_tong	264	He asked for me to appearbefore him for an interview.
1991_goh_chok_tong	265	I was interviewed and he told me that hewould arrange for me to report to him to work as his PPS.
1991_goh_chok_tong	266	So I went backand told Joe Pillay that.
1991_goh_chok_tong	267	Joe Pillay hit the roof.
1991_goh_chok_tong	268	He said, "I did not sendyou to Williams College in order that you can be the Prime Minister'sPrincipal Private Secretary''.
1991_goh_chok_tong	269	I do know how he did it, but I never ended upas Mr Lee's Principal Private Secretary.
1991_goh_chok_tong	270	I therefore have great respect forJoe Pillay, a civil servant who was able to stand up to a Prime Minister.34.
1991_goh_chok_tong	271	The point that I am making is - I am a product of this policy.
1991_goh_chok_tong	272	Whenthe senior officer finds a junior officer able to learn, acquire the skills andknowledge, he takes an interest in the junior officer.
1991_goh_chok_tong	273	He sends him off onscholarship.
1991_goh_chok_tong	274	So, I have benefited from that policy and I want to continuethat policy.
1991_goh_chok_tong	275	So, I take a personal interest in able officers, in able people,not just those in the civil service.
1991_goh_chok_tong	276	Talent scouting Singaporeans, finding outwhere they are, trying to get them into the system and making sure thatthey can maximise their talent and later on, use them for Singapore.35.
1991_goh_chok_tong	277	I am therefore very happy that among this year's President'sscholars, of the four, two came from humble backgrounds.
1991_goh_chok_tong	278	One of them,his father is a taxi driver, mother is a room stewardess.
1991_goh_chok_tong	279	The other, thefather is a merchant having only a secondary education.
1991_goh_chok_tong	280	The mother only aprimary education.
1991_goh_chok_tong	281	So, two out of four.
1991_goh_chok_tong	282	I checked up on the total figuresfor President's scholars.
1991_goh_chok_tong	283	Some 40 per cent of our President's scholars cam from humble beginnings.
1991_goh_chok_tong	284	They lived in HDB flats.
1991_goh_chok_tong	285	So, it is a systemwhich a11ows people to go up to the top and this is a system I want topreserve.36.
1991_goh_chok_tong	286	In order for us to succeed in preserving this system, there is a flipside to the coin.
1991_goh_chok_tong	287	The able must have that sense of obligation to help theless able because society as a whole has accepted this system.
1991_goh_chok_tong	288	If the abledoes not have this sense of obligation to help the slower learners, then youraverage Singaporean is not going to support your able.
1991_goh_chok_tong	289	He is going toresent our spending more money on the able.
1991_goh_chok_tong	290	But if the able comes backand helps others in society, then the others can see the benefit which weenjoy from the able.
1991_goh_chok_tong	291	So, I would like to urge Singaporeans who aresuccessful to develop this sense of obligation to society, to help otherSingaporeans who are not as able as themselves.37.
1991_goh_chok_tong	292	I feel so strongly on this because I have been reading The ,",'traitsTimes' national supplement on the views and attitudes of youngerSingaporeans.
1991_goh_chok_tong	293	You read the views of the over-20s, the views of the babyboomers, the 30s and 40s, you find that there is a difference in theiroutlook.
