sid	text	aspect	sentiment
503	Service was excellent, and the AC worked very well too (thank God, it was hot!).	service	positive
335	The best part of the experience was knowing that the manager (a bubbly, friendly young woman with a great smile) truly cared about how we were doing.	service	positive
2823	I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.	service	positive
2546	Little Tonino's is just awesome, our favorite delivery place in Kennsington, honestly the best Gnochi I have ever had!	food	positive
2708	The food is fresh, delicious, and reasonably priced.	price	positive
2079	The staff was accomodating, the food was absolutely delicious and the place is lovely.	service	positive
2121	Indoor was very cozy and cute.	ambience	positive
267	The bar is very well stocked with interesting beers and well priced wines.	food	positive
869	The ambience is authentic and relaxing and we have always received attentive and prompt service.	ambience	positive
1907	The waitress suggested glasses of wine that went very well with the food.	service	positive
2599	The place is so cool and the service is prompt and curtious.	service	positive
464	The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.	ambience	positive
2644	The barebecued salmon is elegantly spiced and not at all dry.	food	positive
2178	my personal favorite is an everything bagel with lox spread, but all the bagles are unbeliavably good.	food	positive
1534	I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.	food	positive
2160	They have a huge selection of different cream cheeses and all of their salads are great.	food	positive
2303	All conveniently delivered right to the door.	service	positive
2983	Nice atmosphere, the service was very pleasant and the desert was good.	ambience	positive
2957	The waiters are sweet, the food is tasty and the bill is never too large.	service	positive
2548	Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!	service	positive
629	The place's decor and hidden bathrooms made for a good laugh.	ambience	positive
58	A cool bar with great food, and tons of excellent beer.	ambience	positive
2090	I got the $10 10-piece dim sum combo, every bite of which was great.	price	positive
2983	Nice atmosphere, the service was very pleasant and the desert was good.	service	positive
2607	The sangria was pretty tasty and good on a hot muggy day.	food	positive
450	Their eggplant is so delicate, sweet tender!	food	positive
3412	This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.	ambience	positive
540	The bruschetta and panini's are so yummy!	food	positive
3609	And affordable.	price	positive
1473	The pizza is overpriced and soggy.	price	positive
1014	The atmosphere is great!!!	ambience	positive
2137	The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	service	positive
127	The noodle and rices dishes taste great.	food	positive
1623	The wine list is excellent.	food	positive
3467	No you're going to go back because the food was good.	food	positive
527	Great spot, whether looking for a couple of drinks or quiet dinner.	ambience	positive
3198	We had Pam's special fried fish and it was amazing.	food	positive
134	The food is prepared quickly and efficiently.	food	positive
966	The prices cannot be beat for the quality, quantity, freshness and taste.	price	positive
315	I didn't take a look at the rest menu, but the oysters were fantastic.	food	positive
857	I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.	food	positive
264	The exotic food is beautifully presented and is a delight in delicious combinations.	food	positive
1921	The food and staff always surprise me with the new heights they are taken to.	service	positive
1161	Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).	service	positive
3661	We walked in on a Wednesday night and were seated promptly.	service	positive
2252	They do cater to American palates, but if you like it hot let them know and they are more than willing to oblige!	service	positive
3317	Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.	ambience	positive
1207	Get the tuna of gari.	food	positive
2808	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	service	positive
964	The wait staff is very friendly, if not overly efficient.	service	positive
1398	Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!	service	positive
2533	I love this cozy around the way Rest.	ambience	positive
2443	Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.	service	positive
693	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	ambience	positive
556	I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.	ambience	positive
599	Best Italian food I ever had (and being Italian, that means alot).	food	positive
2421	For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.	food	positive
1544	This is a cute place and could be good but they need to get their act together.	ambience	positive
2879	The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.	service	positive
3115	Sure enough, exactly 30 minutes later we got the call and were seated promptly.	service	positive
2622	Great food, great prices, great service.	price	positive
2317	I started out with a Bombay beer which was big enough for two.	food	positive
1111	His drinks are very inventive, delicious and classy.	food	positive
845	The dining room is quietly elegant with no music to shout over -- how refreshing!	ambience	positive
89	The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.	service	positive
1110	And Kruno, the beverage manager is the best bartender I have yet to come across.	service	positive
212	Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.	food	positive
766	The dim sum however was very good.	food	positive
1192	They sell special sushi, everything have a topping, sauce and etc.	food	positive
552	As always we had a great glass of wine while we waited.	food	positive
1918	We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.	food	positive
702	We love the food, drinks, and atmosphere!	ambience	positive
3414	I cannot imagine better Indian food in all of the city.	food	positive
628	The server was really cool and served us our food and drinks with a smile.	service	positive
1095	The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!	ambience	positive
3423	We had the lobster sandwich and it was FANTASTIC.	food	positive
1328	Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...	service	positive
1891	The food was really good, I had the onion soup and it was one of the best ever.	food	positive
2959	They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?	ambience	positive
1699	The fried dumplings are GREAT!	food	positive
479	The sandwhiches are out-of-this world!	food	positive
1563	Authentic Pakistani food.	food	positive
1647	Everything is delicious, though, my gf and I come here once a week sometimes- you will get addicted!	food	positive
1585	I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.	ambience	positive
3174	Won't or Can't is not in the service directory.	service	positive
1681	Most of the servers are very attentive, friendly and quite attractive.	service	positive
1652	Otherwise, this place has great service and prices and a nice friendly atmosphere.	ambience	positive
732	The burger was great, also.	food	positive
942	The prices are wonderfully low.	price	positive
109	I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.	food	positive
1231	Pick a bagel has the best bagels in the city.	food	positive
29	Dessert - can't be missed, so save room!!!	food	positive
101	i love the pics of andy warhol when he used to frequent the place (he painted the ballato's sign in the window).	ambience	positive
2276	The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.	food	positive
318	The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.	ambience	positive
704	Try the Pad Thai, it's fabulous and their prices are so cheap!	price	positive
1843	The establishment scores big points in presentation and style.	ambience	positive
3261	Try the spicy wontons and the salt pepper shrimps.	food	positive
678	The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.	food	positive
2197	They need a kick out of it but until then the sushi is pretty good and the place is consistent.	ambience	positive
1344	A touch more jalapeno heat for contrast and it would have been very good indeed.	food	positive
1989	The second you walk through the heavy vault like door, with people anticipating your arrival you get the sense that you are going to have the dining ride of a lifetime.	service	positive
2886	My wife and I ate here earlier this week and have not stopped ranting and raving about the food.	food	positive
1931	Truly the mark of an attentive waiter.	service	positive
1550	It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).	ambience	positive
2133	During our meal, the management came over and checked on us and even bought us a round of drinks.	service	positive
3457	From the moment we walked in they were more than accomodating even though the place was packed.	service	positive
1059	delicious bagels, especially when right out of the oven.	food	positive
803	I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.	food	positive
3257	There is not a single place in Chinatown where you have a nice neighborhood feeling like here.	ambience	positive
2637	I have to say I have never had a disapointing meal here.	food	positive
1279	Awsome Pizza especially the Margheritta slice.	food	positive
1384	Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.	price	positive
2350	My boyfriend ate tuna and it was cooked perfectly!	food	positive
3662	The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.	service	positive
1827	He takes real pride in his food and his business.	service	positive
1991	The production is a symphony, alot of fun to experience.The food sublime for the most part.	food	positive
1691	Good food.	food	positive
1491	The sauce is delicious and the crust is perfect.	food	positive
3633	The service was superb, they treat you like family.	service	positive
2131	Everyone is welcomed in as family.	service	positive
2887	If you like spicy food get the chicken vindaloo.	food	positive
1609	Service was quick.	service	positive
741	The tuna and wasabe potatoes are excellent.	food	positive
1549	Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.	price	positive
275	Raga stands out with an interesting fusion of French and Indian cooking.	food	positive
800	My fiance took me to Scopa last week for my birthday and I couldn't believe the food.	food	positive
2412	Spice is sleek, modern and cool with a menu that will not hurt your wallet.	price	positive
3199	too large for just two people but nothing was left.	food	positive
1954	I do suggest to ask to be seated upstairs if you are looking to be a little cozy.	ambience	positive
3227	IT is the best deal in town for a Monday night dinner at a fine restaurant.	price	positive
3353	- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.	food	positive
1357	Total hipster-wannabe attitude in an otherwise sweet spot.	ambience	positive
3525	The staff is very attentive and we can almost always get a table.	service	positive
971	Interesting other dishes for a change include chicken in curry sauce and salmon caserole.	food	positive
601	We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.	ambience	positive
3507	His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious.	service	positive
634	The prices were CHEAP compared to the quality of service and food.	price	positive
2777	To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.	food	positive
1642	I've rarely had a problem with slow staff in the 10 years I've been going.	service	positive
2507	The food is great and authentic.	food	positive
718	However, I think this place is a good hang out spot.	ambience	positive
1410	It is terrific, as is the value.	price	positive
2435	I really recommend the very simple Unda (Egg) rolls.	food	positive
938	I found the food, service and value exceptional everytime I have been there.	price	positive
2940	they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.	service	positive
3676	The wine is always good, the tapas are always yummy, especially with the warm pita bread.	food	positive
240	Authentic Shanghai style and I cannot recommend a better Shanghai place in New York.	ambience	positive
61	This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!	ambience	positive
2382	If you have a dumpling fetish i suggest you try some here!	food	positive
3089	Oh yes, and if you are a fan of Indian oldies film stars, there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls, some of which, I would love to know where they obtained.	ambience	positive
988	The food is delicious.	food	positive
989	The service is fine and they allow you to enjoy the view.	ambience	positive
1061	Service is fast and friendly.	service	positive
915	The buffet had a nice selection.	food	positive
598	The atmosphere is unheralded, the service impecible, and the food magnificant.	ambience	positive
2737	The service is excellent, the decor is great, and the food is delicious and comes in large portions.	ambience	positive
1322	one of the best Chicken Tikka Masala.	food	positive
1748	Great pizza and fantastic service.	service	positive
904	I in all reality felt as if I had just gotten off Air France and was in the 8th District in Paris.	ambience	positive
579	We both opted for a pasta dish and they were served timely and fresh.	service	positive
3489	As much as I like the food there, I can't bring myself to go back.	food	positive
1349	great for a romantic evening, or a fun evening with friends...	ambience	positive
973	Ambiance and music funky, which I enjoy.	ambience	positive
2737	The service is excellent, the decor is great, and the food is delicious and comes in large portions.	service	positive
1701	Winnie and her staff are the best crew you can find serving you.	service	positive
2974	The Steak Tartare is a great bet, they fix it for you at the table.	food	positive
2454	I love the atmorphere @ peep!	ambience	positive
2997	Delicious crab cakes too.	food	positive
2893	Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.	service	positive
1599	The pizza here is delicious.	food	positive
233	Service was good and food is wonderful.	service	positive
1456	You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.	price	positive
85	Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.	food	positive
674	It can be a very fun experience with a group, and kids (6 and over) would love it.	ambience	positive
2444	The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.	food	positive
1828	He not only makes his own homemade mozzarella, but every pie is ultra fresh.	food	positive
1216	Great place to grab a hot bagel on the way to work.	food	positive
329	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!	service	positive
1819	Ambiance- relaxed and stylish.	ambience	positive
916	The food was average or above including some surprising tasty dishes.	food	positive
2567	Great value for the quality ingredients.	price	positive
1232	big and soft as well as good lunch food.	food	positive
2215	The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.	price	positive
696	I have eaten at Saul, many times, the food is always consistently, outrageously good.	food	positive
2187	The drinks are always welll made and wine selection is fairly priced.	price	positive
2134	While I'm not sure that this happens all the time-this is the kind of treatment that buys repeat business!	service	positive
492	The servers give you some sample slices of your order while you wait (shortly I might add).	service	positive
3454	We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.	food	positive
177	I had a huge group for my birthday and we were well taken care of.	service	positive
89	The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.	price	positive
3072	Service was very prompt but slightly rushed.	service	positive
3195	He has visited Thailand and is quite expert on the cuisine.	food	positive
2059	and yes Dal Bukhara is so dam good and so are all the kababs.	food	positive
229	Great people watching as others do the same to you.	ambience	positive
3590	great food, lt's of it, more then one person can eat!	food	positive
2204	It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.	service	positive
3405	I really loved the different and inovated touch that's the cheff gives to the food.	food	positive
3409	But after last night, Spice Grill is the only place I'm eating indian cuisine.	food	positive
994	Prices are very good.	price	positive
300	My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!	food	positive
213	The tastes makes your mouth water for more.	food	positive
1037	While the food was excellent, it wasn't cheap (though not extremely expensive either).	food	positive
2002	I've dined at Alain Ducasse's restaurant in Monte Carlo for half the price for the same excellent dining experience.	price	positive
3092	Try the tandoori salmon!	food	positive
90	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).	price	positive
259	This is my first time writing a review for a restaurant because the food and service was excellent.	service	positive
2968	Nice ambiance, nice little bar, good bartender, Francois, and good service.	ambience	positive
1120	I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.	food	positive
1766	Food is excellent.	food	positive
1116	The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.	food	positive
1723	The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.	food	positive
709	What is even better, is that the prices are very affordable as well, and the food is really good.	price	positive
2289	The service is good and the resturant is clean.	ambience	positive
1514	And they have these home made potato chips at the bar that are the most delicious things in the world!	food	positive
3433	Would recommend this place as a good date spot if you don't want to drop a ton of cash.	price	positive
314	All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.	price	positive
1242	But the coconut rice was good.	food	positive
1592	Our server was very helpful and friendly.	service	positive
3493	Ambience is delightful, service impeccable.	service	positive
1436	my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).	food	positive
2781	We all ate pasta entre'es, which were great.	food	positive
52	No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.	ambience	positive
3192	The quantity is also very good, you will come out satisfied.	food	positive
2778	Found service above average, but that could be because we were 13 of us.	service	positive
920	The food was good.	food	positive
1528	I'm happy to have Nosh in the neighborhood and the food is very comforting.	food	positive
2511	whoever the jazz duo was, they were on POINT.	ambience	positive
2307	Personal pans are the perfect size for those hungry nights.	food	positive
3201	The service was excellent and the food was delicious.	service	positive
2177	so garantuan that you can't fit them in a toaster.	food	positive
484	It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.	food	positive
1756	The price very reasonable.	price	positive
2398	I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.	price	positive
2638	We could have made a meal of the yummy dumplings from the dumpling menu.	food	positive
3064	Romantic if you want it to be (brightly lit).	ambience	positive
2456	My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.	service	positive
2741	Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.	service	positive
1012	Chinese Desserts are known for healthful benefits in addition to the sweetness.	food	positive
140	I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.	food	positive
2176	always fresh and delicious.	food	positive
480	The waitresses are nice--also you can just get counter service sit.	service	positive
306	The banana tower is an amazing dessert as well.	food	positive
201	Anyway, the food is good, the price is right and they have a decent wine list.	price	positive
940	I felt as though I were eating in Paris.	ambience	positive
3228	If you love seafood, you would love this place!	food	positive
856	An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.	food	positive
334	The food was great and the service was even better.	service	positive
2080	We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.	service	positive
3116	The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.	service	positive
2152	The bagels are fabulous.	food	positive
2941	good selection of wines ranging from affordable to high end.	food	positive
2228	Sure, the setting is nice.	ambience	positive
136	The takeout is great too since they give high quality tupperware as well.	service	positive
560	The dinner menu is diverse and top-notch as well.	food	positive
3451	overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well.	price	positive
3547	Taj Mahal offeres gret value and great food.	price	positive
2007	The flavors robust and subtle.	food	positive
1481	The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.	food	positive
874	I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.	price	positive
2961	Fresh, authentic, french cuisine in substantial portions.	food	positive
2404	The place is sleek, modern and playfull and i will return again frequently.	ambience	positive
2314	The service was great as well.	service	positive
265	It is also extremely well priced.	price	positive
1677	The only positive was the wait staff, which was prompt, knowledgable, and likeable.	service	positive
1324	A must for all the Dosa lovers.	food	positive
